"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.614483125E0,9.054292839E-2,-4.805066407E-2,2.291993419E-2,1.050343353E-1
2.624461125E0,3.869020371E-2,-7.068991363E-2,1.836261431E-2,8.265096101E-2
2.634440125E0,4.480460057E-2,-7.762588084E-2,2.023957053E-2,9.188509032E-2
2.644418125E0,7.096299687E-2,-7.873217404E-2,2.716499448E-2,1.094186414E-1
2.654397125E0,1.070059285E-1,-7.189794838E-2,8.280826807E-3,1.291826452E-1
2.664375125E0,1.517837963E-1,-3.107502759E-2,4.750804245E-2,1.620524368E-1
2.674353125E0,2.035333542E-1,-2.466472507E-2,8.471915642E-2,2.218366751E-1
2.684332125E0,1.892717394E-1,-2.827421129E-2,7.074564490E-3,1.915026679E-1
2.694310125E0,6.593550604E-2,-6.091336906E-2,-1.487825850E-2,9.099061525E-2
2.704289125E0,7.761886418E-2,-1.043119884E-1,-3.606385371E-2,1.349306508E-1
2.714267125E0,1.725948408E-1,-1.114695650E-1,-3.709649026E-2,2.087836023E-1
2.724245125E0,1.644684902E-1,-1.034875309E-1,-4.659878215E-2,1.998274251E-1
2.734224125E0,1.210036877E-1,-9.219538808E-2,-9.807299098E-2,1.809977723E-1
2.744202125E0,7.878021257E-2,-6.907783628E-2,-8.596868813E-2,1.355311208E-1
2.754181125E0,5.624067631E-2,-1.783693135E-2,-1.487065712E-2,6.084657948E-2
2.764159125E0,5.789470743E-2,3.591359854E-3,1.908646306E-2,6.106544102E-2
2.774137125E0,8.963951530E-2,1.805620193E-3,5.077197650E-2,1.030354141E-1
2.784116125E0,1.100605322E-1,-7.011981010E-3,2.958691120E-4,1.102840704E-1
2.794094125E0,7.312491350E-2,5.429139733E-3,-3.307362417E-2,8.043999719E-2
2.804073125E0,1.170770083E-1,2.176158249E-2,2.105408767E-2,1.209291816E-1
2.814051125E0,1.408063433E-1,4.859036207E-3,9.225269079E-2,1.684060436E-1
2.824029125E0,1.249852944E-1,2.280414104E-4,1.011433822E-1,1.607835799E-1
2.834008125E0,9.758219032E-2,-1.040336609E-2,4.432481825E-2,1.076810262E-1
2.843986125E0,5.225967262E-2,-2.239249706E-2,-6.541298423E-3,5.723011351E-2
2.853965125E0,3.742961710E-2,-4.665961146E-2,-2.107804298E-2,6.342223171E-2
2.863943125E0,6.349074863E-2,-4.606845796E-2,-5.862184525E-2,9.792802827E-2
2.873921125E0,8.887998026E-2,-4.082058191E-2,-7.155765871E-2,1.211877441E-1
2.883900125E0,7.532092670E-2,-5.457615674E-2,-7.966772854E-2,1.224693670E-1
2.893878125E0,7.970076531E-2,-5.231386900E-2,-4.939027945E-2,1.073701662E-1
2.903857125E0,7.061095795E-2,-7.670611382E-2,-5.284830451E-2,1.168874611E-1
2.913835125E0,7.594592096E-2,-7.909937918E-2,-7.169214467E-2,1.310124357E-1
2.923813125E0,1.147687103E-1,-7.654473066E-2,-9.290756067E-2,1.663212779E-1
2.933792125E0,1.272692716E-1,-3.012836337E-2,-1.932444474E-2,1.322067318E-1
2.943770125E0,1.407048576E-1,-2.720709443E-3,2.492260555E-2,1.429209413E-1
2.953749125E0,1.380949894E-1,4.175496697E-2,7.171317637E-2,1.611101581E-1
